# huble skybackground mean level, earthshine + zodical light
#wavelength(A)    flux(photon/s/A/arcsec^2/m^2)
1000.0    6.062014541418706e-09
1005.0    1.1324002246856417e-08
1010.0    1.6638046446152143e-08
1015.0    2.2004147139305884e-08
1020.0    2.7422304326317643e-08
1025.0    3.289251800718741e-08
1030.0    3.8414788181915204e-08
1035.0    4.398911485050101e-08
1040.0    4.961549801294483e-08
1045.0    5.5293937669246676e-08
1050.0    6.102443381940653e-08
1055.0    6.68069864634244e-08
1060.0    7.26415956013003e-08
1065.0    7.852826123303418e-08
1070.0    8.446698335862612e-08
1075.0    9.045776197807603e-08
1080.0    9.650059709138398e-08
1085.0    1.0259548869854993e-07
1090.0    1.0874243679957394e-07
1095.0    1.1494144139445595e-07
1100.0    1.2119250248319594e-07
1105.0    1.1621516866148182e-07
1110.0    1.1118780580055496e-07
1115.0    1.0611041390041543e-07
1120.0    1.009829929610632e-07
1125.0    9.580554298249834e-08
1130.0    9.057806396472076e-08
1135.0    8.530055590773051e-08
1140.0    7.997301881152757e-08
1145.0    7.459545267611195e-08
1150.0    6.916785750148364e-08
1155.0    6.369023328764268e-08
1160.0    5.8162580034589e-08
1165.0    5.2584897742322656e-08
1170.0    4.695718641084362e-08
1175.0    4.127944604015191e-08
1180.0    3.5551676630247506e-08
1185.0    2.977387818113043e-08
1190.0    2.394605069280067e-08
1195.0    1.8068194165258228e-08
1200.0    1.2140308598503108e-08
1205.0    1.1911173524700924e-08
1210.0    1.1679717125645938e-08
1215.0    1.144593940133815e-08
1220.0    1.1209840351777559e-08
1225.0    1.0971419976964167e-08
1230.0    1.0730678276897972e-08
1235.0    1.0487615251578977e-08
1240.0    1.0242230901007181e-08
1245.0    9.994525225182583e-09
1250.0    9.744498224105179e-09
1255.0    9.49214989777498e-09
1260.0    9.237480246191975e-09
1265.0    8.980489269356168e-09
1270.0    8.721176967267561e-09
1275.0    8.45954333992615e-09
1280.0    8.19558838733194e-09
1285.0    7.929312109484926e-09
1290.0    7.660714506385111e-09
1295.0    7.389795578032495e-09
1300.0    7.116555324427076e-09
1305.0    6.840993745568856e-09
1310.0    6.5631108414578336e-09
1315.0    6.282906612094011e-09
1320.0    6.000381057477383e-09
1325.0    5.715534177607957e-09
1330.0    5.428365972485726e-09
1335.0    5.138876442110697e-09
1340.0    4.847065586482863e-09
1345.0    4.552933405602229e-09
1350.0    4.256479899468791e-09
1355.0    3.9577050680825545e-09
1360.0    3.656608911443514e-09
1365.0    3.3531914295516723e-09
1370.0    3.0474526224070294e-09
1375.0    2.7393924900095834e-09
1380.0    2.4290110323593374e-09
1385.0    2.1163082494562875e-09
1390.0    1.801284141300438e-09
1395.0    1.483938707891785e-09
1400.0    1.1642719492303297e-09
1405.0    1.302827183295651e-09
1410.0    1.442338980492367e-09
1415.0    1.5828073408204775e-09
1420.0    1.7242322642799823e-09
1425.0    1.866613750870882e-09
1430.0    2.009951800593176e-09
1435.0    2.154246413446864e-09
1440.0    2.2994975894319473e-09
1445.0    2.445705328548425e-09
1450.0    2.5928696307962963e-09
1455.0    2.7409904961755633e-09
1460.0    2.890067924686224e-09
1465.0    3.040101916328279e-09
1470.0    3.1910924711017297e-09
1475.0    3.343039589006575e-09
1480.0    3.495943270042813e-09
1485.0    3.649803514210447e-09
1490.0    3.804620321509474e-09
1495.0    3.960393691939896e-09
1500.0    4.117123625501715e-09
1505.0    8.93940767390179e-09
1510.0    1.3793642289099087e-08
1515.0    1.8679827471093606e-08
1520.0    2.3597963219885345e-08
1525.0    2.8548049535474305e-08
1530.0    3.353008641786049e-08
1535.0    3.8544073867043887e-08
1540.0    4.359001188302451e-08
1545.0    4.866790046580235e-08
1550.0    5.3777739615377417e-08
1555.0    5.8919529331749705e-08
1560.0    6.409326961491921e-08
1565.0    6.929896046488596e-08
1570.0    7.453660188164988e-08
1575.0    7.980619386521105e-08
1580.0    8.510773641556946e-08
1585.0    9.044122953272506e-08
1590.0    9.58066732166779e-08
1595.0    1.0120406746742795e-07
1600.0    1.0663341228497521e-07
1605.0    2.656467766234215e-07
1610.0    4.2564880223865926e-07
1615.0    5.866394891306888e-07
1620.0    7.486188372995099e-07
1625.0    9.115868467451226e-07
1630.0    1.075543517467527e-06
1635.0    1.2404888494667231e-06
1640.0    1.4064228427427105e-06
1645.0    1.5733454972954894e-06
1650.0    1.7412568131250607e-06
1655.0    1.9101567902314226e-06
1660.0    2.080045428614577e-06
1665.0    2.250922728274523e-06
1670.0    2.4227886892112605e-06
1675.0    2.595643311424789e-06
1680.0    2.76948659491511e-06
1685.0    2.9443185396822223e-06
1690.0    3.120139145726126e-06
1695.0    3.2969484130468213e-06
1700.0    3.474746341644308e-06
1705.0    3.6828985428956737e-06
1710.0    3.892211637748622e-06
1715.0    4.102685626203155e-06
1720.0    4.3143205082592715e-06
1725.0    4.527116283916972e-06
1730.0    4.741072953176257e-06
