# Atmospheric transmission in the optical: 310-1100nm
# 1.0mm H2O,  sec z = 1.0
# Adopted average extinction used for Rayleigh scattering,
# no dependence on H2O content included for Rayleigh scattering.
# Atmospheric absorption lines for 600-800nm are based on observations 
# from McDonald Observatory, scaled for H2O content and airmass.
# Atmospheric absorption lines for 800-1100nm are from ATRAN models
# run by Tom Geballe.
# No atmospheric absorption lines are included for wavelengths < 600nm
# 
# Author: Inger Jorgensen
# Created: 21 Feb 2001
# 
#  Table mkskytrans_opt.tab  Wed 17:07:00 21-Feb-2001
# wavelength tr_1010
#     [nm]         
      200.0  0.0000
      310.0  0.2830
      320.0  0.4700
      340.0  0.6250
      360.0  0.7110
      380.0  0.7590
      400.0  0.7940
      450.0  0.8550
      500.0  0.8870
      550.0  0.8950
      580.3  0.8979
      580.8  0.8979
      581.3  0.8980
      581.7  0.8980
      582.2  0.8980
      582.7  0.8980
      583.2  0.8981
      583.6  0.8981
      584.1  0.8981
      584.6  0.8982
      585.1  0.8982
      585.5  0.8982
      586.0  0.8983
      586.5  0.8983
      586.9  0.8983
      587.4  0.8984
      587.9  0.8984
      588.4  0.8984
      588.8  0.8985
      589.3  0.8985
      589.8  0.8985
      590.2  0.8986
      590.7  0.8986
      591.2  0.8987
      591.7  0.8987
      592.1  0.8987
      592.6  0.8988
      593.1  0.8988
      593.5  0.8988
      594.0  0.8989
      594.5  0.8989
      595.0  0.8990
      595.4  0.8990
      595.9  0.8990
      596.4  0.8991
      596.9  0.8991
      597.3  0.8992
      597.8  0.8992
      598.3  0.8992
      598.7  0.8993
      599.2  0.8993
      599.7  0.8994
      600.2  0.8994
      600.6  0.8995
      601.1  0.8995
      601.6  0.8995
      602.0  0.8996
      602.5  0.8996
      603.0  0.8997
      603.5  0.8997
      603.9  0.8998
      604.4  0.8998
      604.9  0.8999
      605.4  0.8999
      605.8  0.9000
      606.3  0.9000
      606.8  0.9001
      607.2  0.9001
      607.7  0.9001
      608.2  0.9002
      608.7  0.9002
      609.1  0.9003
      609.6  0.9003
      610.1  0.9004
      610.5  0.9004
      611.0  0.9005
      611.5  0.9005
      612.0  0.9006
      612.4  0.9006
      612.9  0.9007
      613.4  0.9008
      613.8  0.9008
      614.3  0.9009
      614.8  0.9009
      615.3  0.9010
      615.7  0.9010
      616.2  0.9011
      616.7  0.9011
      617.2  0.9012
      617.6  0.9012
      618.1  0.9013
      618.6  0.9013
      619.0  0.9014
