# nm   erg/s/nm/arcsec^2/cm^2
100    1.26E-27
110    1.02E-25
120    1.05E-24
140    2.50E-23
150    9.12E-23
160    2.30E-21
170    7.06E-20
180    1.50E-19
190    2.20E-19
200    3.49E-19
210    1.21E-18
220    2.16E-18
230    1.75E-18
240    1.79E-18
250    2.47E-18
260    2.93E-18
270    9.95E-18
280    2.82E-18
290    2.04E-17
300    1.20E-17
310    1.46E-17
320    2.25E-17
340    2.81E-17
350    2.73E-17
360    2.68E-17
370    3.25E-17
380    3.05E-17
390    3.27E-17
400    4.54E-17
425    4.48E-17
450    5.32E-17
500    4.92E-17
525    5.28E-17
550    5.20E-17
575    5.33E-17
600    5.11E-17
625    4.94E-17
650    4.88E-17
675    4.69E-17
700    4.40E-17
725    4.34E-17
750    4.13E-17
775    3.95E-17
800    3.85E-17
825    3.68E-17
850    3.46E-17
875    3.36E-17
900    3.23E-17
925    3.07E-17
950    2.98E-17
975    2.86E-17
1000   2.78E-17
1025   2.67E-17
1050   2.56E-17
1075   2.41E-17
1100   2.31E-17
